elapsed_s,cpu0,cpu1,cpu_avg,heap_free,rssi
0,2,1,1,207396,-59
3,2,1,1,207396,-59
8,2,1,1,207396,-60
13,2,1,1,207420,-58
18,2,1,1,207420,-59
23,2,1,1,207420,-59
28,2,1,1,207420,-57
33,2,1,1,207420,-60
38,2,1,1,207420,-59
43,2,1,1,207420,-59
48,2,1,1,207420,-58
53,6,1,3,207420,-58
58,23,3,13,205848,-59
63,23,5,14,205848,-59
68,22,8,15,205856,-57
73,12,16,14,204288,-58
78,24,5,14,205856,-59
83,27,2,14,205856,-60
88,23,6,14,204288,-58
93,22,7,14,205856,-60
98,16,4,10,207408,-60
103,2,1,1,207408,-59
108,2,1,1,207408,-58
113,2,1,1,207408,-59
118,2,1,1,207408,-59
123,2,1,1,207408,-59
128,2,1,1,207408,-60
133,2,1,1,207416,-59
138,2,1,1,207416,-60
143,2,1,1,207416,-59
148,3,1,2,207416,-59
153,2,1,1,207416,-59
158,2,1,1,207416,-60
163,2,1,1,207416,-60
168,2,1,1,207416,-60
173,2,1,1,207416,-60
178,2,1,1,207416,-60
183,2,1,1,207416,-59
188,2,1,1,207416,-59
193,2,1,1,207412,-60
198,2,1,1,207412,-59
203,2,1,1,207412,-60
208,2,1,1,207412,-59
213,2,1,1,207412,-60
218,2,1,1,207412,-59
223,2,1,1,207412,-59
228,2,1,1,207412,-59
233,2,1,1,207412,-61
238,2,1,1,207412,-59
243,2,1,1,207412,-59
248,2,1,1,207412,-59
253,2,1,1,207412,-58
258,2,1,1,207412,-58
263,2,1,1,207412,-59
268,2,1,1,207412,-58
273,2,1,1,207412,-59
278,2,1,1,207412,-58
283,2,1,1,207412,-59
288,2,1,1,207412,-59
293,2,1,1,207412,-59
298,2,1,1,207412,-56
303,2,1,1,207412,-62
308,2,1,1,207412,-56
313,2,1,1,207412,-60
318,2,1,1,207412,-60
323,2,1,1,207412,-60
328,2,1,1,207412,-56
333,2,1,1,207412,-59
338,2,1,1,207412,-59
343,2,1,1,207412,-59
348,2,1,1,207412,-58
353,2,1,1,207412,-59
358,2,1,1,207412,-60
363,2,1,1,207412,-59
368,2,1,1,207412,-60
