board,cycle,tlscfg,time_connect_span_ms,time_connect_total_ms,heap_entry_free,heap_pre_start_free,heap_connected_free,heap_connected_largest,retained_delta,heap_low_water_5s_free
temperature,0,in_out_dyn,1048,1048,223028,219920,178404,110592,41516,135372
temperature,1,in_out_dyn,759,760,223028,219904,177904,110592,42000,134868
temperature,2,in_out_dyn,547,547,223040,219920,178020,110592,41704,136800
temperature,3,in_out_dyn,908,909,223032,219912,178124,110592,41592,132164
temperature,4,in_out_dyn,561,561,223044,219920,178172,110592,41552,136732
temperature,5,in_out_dyn,742,742,223040,219924,178120,110592,41608,136588
temperature,6,in_out_dyn,557,557,223040,219924,178132,110592,41596,134916
temperature,7,in_out_dyn,1082,1082,223044,219924,177988,110592,41936,131248
temperature,8,in_out_dyn,554,554,223040,219920,178128,110592,41596,136632
temperature,9,in_out_dyn,574,575,223040,219924,178332,110592,41592,135164
temperature,10,in_out_dyn,965,965,223028,219920,178408,110592,41512,136668
temperature,11,in_out_dyn,588,588,223036,219928,178388,110592,41540,135352
temperature,12,in_out_dyn,521,522,223036,219920,178392,110592,41528,136736
temperature,13,in_out_dyn,764,764,223036,219916,178188,110592,41532,136732
temperature,14,in_out_dyn,570,570,223028,219916,178396,110592,41520,136764
temperature,15,in_out_dyn,561,561,223040,219924,178320,110592,41604,136588
temperature,16,in_out_dyn,556,556,223036,219924,178404,110592,41520,136572
temperature,17,in_out_dyn,686,687,223028,219920,177936,110592,41788,136440
temperature,18,in_out_dyn,554,555,223040,219924,178360,110592,41564,132232
temperature,19,in_out_dyn,528,529,223040,219924,178368,110592,41556,136760
temperature,20,in_out_dyn,666,666,223040,219924,178196,110592,41728,136768
temperature,21,in_out_dyn,961,961,223044,219920,177972,110592,41552,136756
temperature,22,in_out_dyn,892,892,223036,219924,178200,110592,41528,135608
temperature,23,in_out_dyn,933,933,223040,219924,178200,110592,41528,136764
temperature,24,in_out_dyn,579,579,223028,219920,178124,110592,41600,136580
temperature,25,in_out_dyn,552,552,223040,219924,178124,110592,41800,132120
temperature,26,in_out_dyn,749,750,223044,219924,178312,110592,41808,130844
temperature,27,in_out_dyn,732,733,223036,219920,178208,110592,41712,135372
temperature,28,in_out_dyn,551,552,223044,219924,178080,110592,41648,136440
temperature,29,in_out_dyn,549,549,223032,219912,178140,110592,41576,136624
